availability_365,reviews_per_month,number_of_reviews,minimum_nights,calculated_host_listings_count,latitude,longitude,churned,room_type_Hotel room,room_type_Private room,room_type_Shared room,churn_predicted
15,0.02,2,31,1,45.515092687723744,-73.55433155820079,0,False,False,False,1
365,0.27,32,32,16,45.52716,-73.57465,0,False,False,False,0
184,0.09,10,32,16,45.5271,-73.57466,0,False,False,False,1
365,0.22,23,32,16,45.52716,-73.57465,0,False,False,False,0
365,0.23,28,31,2,45.49176,-73.56955,0,False,True,False,0
0,0.14,13,31,13,45.59631,-73.51414,1,False,False,False,1
362,0.16,20,60,21,45.47315,-73.60792,0,False,False,False,0
0,0.27,28,31,1,45.54473,-73.63025,1,False,False,False,1
185,0.18,22,60,21,45.47189,-73.60809,0,False,False,False,1
365,0.03,3,31,2,45.49364,-73.57052,0,False,False,False,0
362,0.13,15,60,21,45.473,-73.60778,0,False,False,False,0
365,0.05,5,31,1,45.48848,-73.62393,0,False,False,False,0
26,3.86,463,30,2,45.51895,-73.5924,0,False,False,False,0
218,1.83,222,2,19,45.5247818,-73.5851093,0,False,False,False,0
262,0.34,41,31,2,45.5191,-73.55399,0,False,False,False,0
270,0.91,110,31,2,45.51107,-73.6716,0,False,False,False,0
276,0.72,85,3,1,45.527,-73.73425,0,False,False,False,0
180,0.61,68,31,7,45.51909,-73.56387,0,False,False,False,1
0,2.12,256,2,19,45.52472686767578,-73.58492279052734,1,False,False,False,0
300,0.34,41,31,1,45.53645,-73.6097,0,False,False,False,0
118,0.36,43,31,1,45.52267,-73.57028,0,False,False,False,1
0,0.48,58,2,1,45.48505,-73.60352,1,False,False,False,1
220,0.37,44,32,1,45.58591,-73.54119,0,False,False,False,0
251,0.59,70,32,4,45.46928,-73.62897,0,False,False,False,0
2,1.21,144,32,1,45.4509,-73.59427,0,False,False,False,1
63,0.5,60,5,1,45.52862,-73.58235,0,False,False,False,1
85,0.87,103,35,3,45.48899,-73.64419,0,False,False,False,1
210,0.22,26,31,1,45.41707,-73.62667,0,False,False,False,1
81,2.52,327,1,6,45.539979,-73.606578,0,False,True,False,0
363,0.12,16,90,1,45.55202,-73.6103,0,False,False,False,0
0,0.89,114,7,1,45.54476,-73.53941,1,False,True,False,1
121,0.24,31,31,2,45.55073,-73.57747,0,False,False,False,1
67,0.18,23,31,1,45.53874,-73.61243,0,False,False,False,1
132,0.19,24,3,1,45.52767,-73.57492,0,False,False,False,1
269,0.13,15,32,5,45.49793,-73.62302,0,False,False,False,1
355,0.42,54,90,2,45.49047,-73.58401,0,False,False,False,0
9,0.75,96,2,1,45.51849,-73.58655,0,False,True,False,1
116,3.95,145,3,1,45.51768,-73.56383,0,False,False,False,0
365,0.1,12,60,5,45.52407,-73.59623,0,False,False,False,0
0,0.64,13,32,4,45.53132,-73.63958,1,False,True,False,1
288,0.05,6,60,8,45.44876,-73.5944,0,False,False,False,1
0,0.16,19,60,1,45.52055,-73.55177,1,False,False,False,1
0,0.03,3,31,13,45.51686,-73.55548,1,False,False,False,1
364,0.12,16,31,1,45.55287,-73.54068,0,False,False,False,0
0,6.15,734,1,6,45.54068,-73.6054,1,False,False,False,0
218,0.41,53,31,2,45.52109,-73.57675,0,False,False,False,1
259,1.71,199,31,1,45.53442,-73.61509,0,False,False,False,0
365,0.73,93,32,1,45.47334,-73.58713,0,False,False,False,0
365,0.02,3,365,1,45.56522,-73.60009,0,False,True,False,1
177,1.0,126,3,1,45.52831268310547,-73.5782470703125,0,False,False,False,0
0,0.99,123,31,1,45.51194,-73.55011,1,False,False,False,1
268,1.54,194,31,2,45.53559875488281,-73.56939697265625,0,False,False,False,0
107,0.18,23,31,1,45.52825,-73.58091,0,False,False,False,1
0,0.88,109,4,1,45.5245,-73.57852,1,False,False,False,1
247,0.33,32,32,7,45.53379,-73.59757,0,False,False,False,0
336,0.4,37,5,1,45.51815,-73.58009,0,False,False,False,0
1,0.82,104,70,2,45.52902,-73.55961,0,False,False,False,1
0,0.61,25,3,4,45.56284,-73.58558,1,False,False,False,1
0,0.22,26,31,1,45.52176,-73.58894,1,False,False,False,1
0,0.36,45,31,1,45.53188,-73.56932,1,False,False,False,1
0,0.8,99,31,1,45.49249,-73.57653,1,False,False,False,1
365,0.35,44,60,1,45.45686,-73.57194,0,False,True,False,0
56,0.09,8,30,1,45.52908,-73.58606,0,False,False,False,1
329,0.29,12,31,2,45.47967,-73.57186,0,False,False,False,0
313,0.73,83,1,1,45.60993,-73.54813,0,False,False,False,0
